,mem,page,total
593,2104700,13467188,15928664
594,2107604,13474288,15938168
595,2114996,13481584,15951664
596,2122652,13489036,15966028
597,2127932,13458828,15941720
598,2127932,13465524,15948540
599,2127932,13472164,15954572
600,2127932,13478336,15961432
601,2128196,13484700,15967496
602,2128196,13490792,15974172
603,2128196,13497328,15980960
604,2128196,13503552,15986384
605,2128196,13509852,15993432
606,2128196,13516316,15999828
607,2105168,13541348,16003292
608,2106224,13543000,16002508
609,2104884,13573436,16034076
610,2105936,13694616,16155684
611,2106728,13505684,15969368
612,2110356,13611508,16076992
613,2120124,13679424,16154580
614,2132112,13484708,15970440
615,2134752,13596100,16083656
616,2134224,13516588,16005064
617,2134488,13666364,16156424
618,2131680,13359636,15848784
619,2131680,13369588,15859456
620,2131680,13378980,15867404
621,2107100,13350832,15814836
622,2107100,13358576,15822868
624,2107100,13366572,15829092
625,2107100,13374172,15838404
626,2107100,13382096,15846040
627,2108156,13389820,15855256
628,2116076,13397280,15870356
629,2123996,13405104,15887132
630,2130332,13375400,15862196
631,2130332,13382248,15868424
632,2130332,13389144,15875928
633,2130596,13395628,15882416
634,2130596,13402484,15889068
635,2130596,13409136,15896136
636,2130596,13415560,15902540
637,2130596,13422376,15909552
638,2130596,13428784,15915184
639,2130596,13446644,15932724
640,2107040,13494664,15958352
641,2107040,13498096,15960368
642,2107040,13615332,16077204
643,2107040,13696656,16159260
644,2107272,13528192,15992040
645,2117564,13684920,16156852
646,2129972,13672184,16156172
647,2129988,13348016,15835028
648,2129988,13356828,15843084
649,2130252,13365872,15852068
650,2130252,13374444,15860696
651,2130252,13383628,15868684
652,2130252,13392128,15877568
653,2130252,13400924,15886344
654,2105672,13372032,15833108
655,2105672,13379192,15840004
656,2105672,13386888,15847244
657,2105672,13394108,15854864
658,2105672,13401656,15861968
659,2107256,13409072,15871332
660,2114912,13416412,15887024
661,2122568,13423908,15902312
662,2129168,13394404,15879044
663,2129168,13400572,15886620
664,2129168,13407308,15891060
665,2129168,13413616,15897524
666,2129432,13420008,15904292
668,2129432,13426556,15910572
669,2129432,13432692,15916724
670,2129432,13439188,15923196
671,2129432,13445496,15929792
672,2129432,13451624,15936024
673,2105876,13466560,15927596
674,2105596,13467148,15927384
675,2107444,13498740,15958220
676,2105596,13619660,16078576
677,2106500,13509808,15971456
678,2110988,13633212,16098348
679,2120228,13693192,16169216
680,2131052,13676804,16160628
681,2133552,13303008,15790856
682,2134872,13417880,15908388
683,2138832,13256880,15749264
684,2136164,13363832,15856440
685,2133288,13162332,15651852
686,2133288,13171824,15661168
687,2108708,13144072,15608892
688,2108708,13152352,15616208
689,2108708,13160192,15624312
690,2108708,13168340,15632304
691,2108708,13175924,15639856
692,2109236,13183976,15647924
693,2117156,13191808,15664264
694,2125340,13199480,15679516
695,2131940,13169732,15655472
696,2131940,13176716,15662536
697,2131940,13183508,15669852
698,2131940,13190448,15676908
699,2132204,13196648,15683372
700,2132204,13203552,15689860
701,2132204,13210040,15695924
702,2132204,13216904,15702664
703,2132204,13223548,15710228
704,2132204,13251336,15736772
705,2109964,13296712,15759164
706,2109964,13301416,15764852
707,2109964,13412948,15875924
708,2109964,13529468,15991748
709,2108784,13223644,15686388
711,2119608,13234040,15708052
712,2130168,13269024,15753288
713,2131752,13216052,15702812
714,2131752,13224912,15711664
